County,Facility Name,Facility Address,City,Is the pool indoor or outdoor,Pool Size_sf,Pool Volume_gal
CUYAHOGA,Mayfield Hts Muni - Pool,"1525 Chelmsford Rd, 44124",Mayfield Hts,OUTDOOR,5600,228000
UNION,Union County Family YMCA,"1150 Charles Lane, 43040",Marysville,INDOOR,4350,227586
LICKING,Denision University Physical,200 Livingston Dr.,Granville,INDOOR,3375,227000
MONTGOMERY,NCR Country Club,"4435-B Dogwood Trail, 45429",Kettering,OUTDOOR,6000,226405
CLEVELAND CITY,Collinwood High School,15210 St. Clair Ave,Cleveland,INDOOR,3450,226000
CLINTON ,Sabina Community pool,"449 S. Jackson, 45169",Sabina,OUTDOOR,5200,225700
CUYAHOGA,Parma H/S Indoor Pool,"6285 W. 54 St., 44129",Parma,INDOOR,3900,225600
CHAMPAIGN,Urbana University Pool,"579 College Way, 43078",Urbana,INDOOR,3357,225000
GALLIA,Rio Grande Pool - Lyne Center,Univ. of Rio Grande,Rio Grande,INDOOR,3360,225000
GREENE,Gaunt Park Pool - Big Pool,500 W.S. College St,Yellow Springs,OUTDOOR,3465,225000
SHARONVILLE CITY,Princeton High School,11080 Chester Rd,Sharonville,INDOOR,3150,225000
WYANDOT,Upper Sandusky Pool,"525 East Wyandot Ave, 43351",Upper Sandusky,OUTDOOR,7433,225000
SENECA,NW Ohio Christian Youth Camp,"8877 S. Twp Rd 131, 44844",McCutchenville,OUTDOOR,4000,224400
